,nan,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
50,50,0,0.0,Apollo Kino,Apollo Kino_NormaluhrH.1(Kurbrunnenstraße)_15.csv,1696.6,1036.4,180.2,1,Apollo Kino_NormaluhrH.1(Kurbrunnenstraße)_18.csv,1696.6,1036.4,180.2,1,Apollo Kino_NormaluhrH.1(Kurbrunnenstraße)_21.csv,1384.4,841.0,123.4,0.0,540.3,1895.6,Aachen,POINT (6.098269014119272 50.76413792726984),1091.73587068011,2290.18868463623,
51,51,1,1.0,Capitol,Capitol_NormaluhrH.1(Kurbrunnenstraße)_15.csv,1609.4,1036.4,213.0,2,Capitol_NormaluhrH.1(Kurbrunnenstraße)_18.csv,1609.4,1036.4,213.0,2,Capitol_NormaluhrH.1(Kurbrunnenstraße)_21.csv,1276.0,605.5,130.5,0.0,431.6,1488.8,Aachen,POINT (6.098269014119272 50.76413792726984),1091.73587068011,1761.11947516781,
52,52,2,2.0,,None_NormaluhrH.1(Kurbrunnenstraße)_15.csv,822.2,49.5,172.7,0,None_NormaluhrH.1(Kurbrunnenstraße)_18.csv,822.2,49.5,172.7,0,None_NormaluhrH.1(Kurbrunnenstraße)_21.csv,702.2,49.5,172.7,1.0,336.5,1238.2,Aachen,POINT (6.098269014119272 50.76413792726984),1091.73587068011,1371.75650959717,
53,53,3,3.0,Cineplex Aachen,Cineplex Aachen_NormaluhrH.1(Kurbrunnenstraße)_15.csv,1202.2,605.5,176.7,0,Cineplex Aachen_NormaluhrH.1(Kurbrunnenstraße)_18.csv,1202.2,605.5,176.7,0,Cineplex Aachen_NormaluhrH.1(Kurbrunnenstraße)_21.csv,1082.2,605.5,176.7,0.0,265.7,1036.0,Aachen,POINT (6.098269014119272 50.76413792726984),1091.73587068011,1134.67967525051,
54,54,4,4.0,Eden Palast,Eden Palast_NormaluhrH.1(Kurbrunnenstraße)_15.csv,1943.7,1036.4,367.3,3,Eden Palast_NormaluhrH.1(Kurbrunnenstraße)_18.csv,1389.1,605.5,363.6,0,Eden Palast_NormaluhrH.1(Kurbrunnenstraße)_21.csv,1269.1,605.5,363.6,0.0,346.5,1191.5,Aachen,POINT (6.098269014119272 50.76413792726984),1091.73587068011,1185.63330047575,
55,55,5,0.0,Apollo Kino,Apollo Kino_Elsassstraßesw_15.csv,1201.4,481.2,180.2,1,Apollo Kino_Elsassstraßesw_18.csv,1201.4,481.2,180.2,1,Apollo Kino_Elsassstraßesw_21.csv,1163.1,442.9,180.2,2.0,546.9,2242.9,Aachen,POINT (6.113471304389375 50.77736516966598),2071.79557456377,2462.55573832486,
56,56,6,1.0,Capitol,Capitol_Elsassstraßesw_15.csv,1114.2,481.2,213.0,2,Capitol_Elsassstraßesw_18.csv,1114.2,481.2,213.0,2,Capitol_Elsassstraßesw_21.csv,1015.9,442.9,213.0,1.0,470.6,1752.7,Aachen,POINT (6.113471304389375 50.77736516966598),2071.79557456377,1836.36760982783,
57,57,7,2.0,,None_Elsassstraßesw_15.csv,1101.2,148.5,172.7,1,None_Elsassstraßesw_18.csv,1101.2,148.5,172.7,1,None_Elsassstraßesw_21.csv,1044.1,112.5,151.6,1.0,476.2,1708.6,Aachen,POINT (6.113471304389375 50.77736516966598),2071.79557456377,2067.33354739783,
58,58,8,3.0,Cineplex Aachen,Cineplex Aachen_Elsassstraßesw_15.csv,1419.8,403.1,176.7,1,Cineplex Aachen_Elsassstraßesw_18.csv,1419.8,403.1,176.7,1,Cineplex Aachen_Elsassstraßesw_21.csv,1444.3,442.9,341.4,1.0,405.5,1609.7,Aachen,POINT (6.113471304389375 50.77736516966598),2071.79557456377,1977.77553317449,
59,59,9,4.0,Eden Palast,Eden Palast_Elsassstraßesw_15.csv,1364.4,403.1,121.3,3,Eden Palast_Elsassstraßesw_18.csv,1364.4,403.1,121.3,3,Eden Palast_Elsassstraßesw_21.csv,1424.4,403.1,121.3,2.0,497.1,1796.7,Aachen,POINT (6.113471304389375 50.77736516966598),2071.79557456377,2109.6916878294,
60,60,10,0.0,Apollo Kino,Apollo Kino_Kennedyparksw_15.csv,1032.0,296.2,75.8,1,Apollo Kino_Kennedyparksw_18.csv,1032.0,296.2,75.8,1,Apollo Kino_Kennedyparksw_21.csv,1102.0,296.2,145.8,1.0,579.6,2342.0,Aachen,POINT (6.114001714186389 50.769557996954155),1212.91914580135,2764.86670252326,
61,61,11,1.0,Capitol,Capitol_Kennedyparksw_15.csv,935.7,296.2,99.5,2,Capitol_Kennedyparksw_18.csv,935.7,296.2,99.5,2,Capitol_Kennedyparksw_21.csv,875.7,296.2,99.5,0.0,470.8,1758.1,Aachen,POINT (6.114001714186389 50.769557996954155),1212.91914580135,2113.97491881065,
62,62,12,2.0,,None_Kennedyparksw_15.csv,1093.1,260.4,172.7,0,None_Kennedyparksw_18.csv,1093.1,260.4,172.7,0,None_Kennedyparksw_21.csv,1252.0,260.4,151.6,1.0,401.8,1684.7,Aachen,POINT (6.114001714186389 50.769557996954155),1212.91914580135,2087.99085031343,
63,63,13,3.0,Cineplex Aachen,Cineplex Aachen_Kennedyparksw_15.csv,901.6,184.9,176.7,0,Cineplex Aachen_Kennedyparksw_18.csv,901.6,184.9,176.7,0,Cineplex Aachen_Kennedyparksw_21.csv,820.9,184.9,276.0,0.0,331.1,1585.8,Aachen,POINT (6.114001714186389 50.769557996954155),1212.91914580135,1913.68091494368,
64,64,14,4.0,Eden Palast,Eden Palast_Kennedyparksw_15.csv,1041.7,260.4,121.3,0,Eden Palast_Kennedyparksw_18.csv,1041.7,260.4,121.3,0,Eden Palast_Kennedyparksw_21.csv,711.8,184.9,166.9,0.0,422.7,1772.7,Aachen,POINT (6.114001714186389 50.769557996954155),1212.91914580135,2028.36393517564,
65,65,15,0.0,Apollo Kino,Apollo Kino_Misereorlw_15.csv,713.9,218.1,75.8,0,Apollo Kino_Misereorlw_18.csv,713.9,218.1,75.8,0,Apollo Kino_Misereorlw_21.csv,1009.2,213.4,75.8,0.0,465.6,1119.7,Aachen,POINT (6.079960236109232 50.76942745119387),2504.5404318621,1254.2581485678,
66,66,16,1.0,Capitol,Capitol_Misereorlw_15.csv,1076.9,317.4,99.5,1,Capitol_Misereorlw_18.csv,833.3,313.8,99.5,0,Capitol_Misereorlw_21.csv,1812.9,213.4,99.5,2.0,344.8,990.9,Aachen,POINT (6.079960236109232 50.76942745119387),2504.5404318621,1132.38693308868,
