,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
86,86,6,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,191.9,2052.4,Seefeld,POINT (11.225103699999996 48.021512599999994),687035.779194543,1875.272639448444,
87,87,7,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,53.1,238.3,Seefeld,POINT (11.207222882832344 48.03274885214254),685583.498603695,305.6615987382542,
88,88,8,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,161.4,1309.3,Seefeld,POINT (11.2202594 48.0370246),685275.0695061514,1377.966305783042,
89,89,9,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,355.2,1873.8,Seefeld,POINT (11.206342053037007 48.04761957747381),683941.8450644317,1866.9398179785185,
90,90,0,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,409.2,3354.4,Seefeld,POINT (11.24122242938701 48.05516972469371),683546.792432491,3860.783384446162,
91,91,1,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,229.4,2195.1,Seefeld,POINT (11.225136012926459 48.05035003771997),683874.4685802455,2667.871670003193,
92,92,2,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,136.6,1285.0,Seefeld,POINT (11.19254521189267 48.039893332715835),684620.6129495646,1325.892591189452,
93,93,3,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,155.9,1103.1,Seefeld,POINT (11.195692534425904 48.0231594032102),686494.5072736194,1068.457586356454,
94,94,4,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,364.7,3777.0,Seefeld,POINT (11.251172628804712 48.02987310396017),686444.1263290452,3504.60761774206,
95,95,5,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,247.6,1451.2,Seefeld,POINT (11.1893583 48.03460915),685161.5378417654,1181.8064247380316,
96,96,6,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,282.1,3477.3,Seefeld,POINT (11.250082761630058 48.027950482950985),686641.1621406537,3437.1371008714787,
97,97,7,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,309.7,1880.2,Seefeld,POINT (11.18280685 48.0336679),685185.4342877893,1625.2810246266542,
98,98,8,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,154.1,1098.3,Seefeld,POINT (11.2168863 48.03741409999999),685190.7205382941,1191.926526532306,
99,99,9,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,282.9,2311.7,Seefeld,POINT (11.225020948294677 48.05348693129386),683529.1373221468,2953.237665139576,
100,0,0,,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,663.0,2707.0,Seefeld,POINT (11.184133332727457 48.053918266674),682979.9150682514,2965.6527140245403,
101,1,0,,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,663.0,2707.0,Seefeld,POINT (11.184133332727457 48.053918266674),682979.9150682514,2965.6527140245403,
102,2,0,,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,663.0,2707.0,Seefeld,POINT (11.184133332727457 48.053918266674),682979.9150682514,2965.6527140245403,
103,3,0,,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,663.0,2707.0,Seefeld,POINT (11.184133332727457 48.053918266674),682979.9150682514,2965.6527140245403,
